id,lat,lon,user,uid,version,changeset,timestamp
196627947,43.058679,-88.0074433,adbrown,54598,4,4501093,2010-04-23T07:12:49Z
196627997,43.1547786,-87.943398,maxerickson,360392,4,18618243,2013-10-30T14:34:38Z
196628050,42.9051826,-87.857103,ItalianMustache,1743198,6,24488592,2014-08-01T20:51:33Z
196628136,42.9709535,-87.864956,ItalianMustache,1743198,5,25843444,2014-10-04T00:08:48Z
196628189,43.1837288,-88.0173059,iandees,4732,3,16570639,2013-06-16T03:26:06Z
196628260,43.1751105,-88.0523768,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:11:13Z
196628333,42.983968,-87.9434046,Gary Cox,383843,3,7398244,2011-02-26T11:55:37Z
196628409,42.9258839,-88.0418636,Gary Cox,383843,3,8453621,2011-06-16T08:19:31Z
196628454,42.9601255,-87.899635,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:11:16Z
196628496,43.1631349,-87.974792,ItalianMustache,1743198,11,37802850,2016-03-13T16:12:04Z
196628539,43.11384,-87.976356,maxerickson,360392,6,18639573,2013-10-31T18:11:32Z
196628589,43.0894087,-87.9583699,FightingIrish1,1704100,6,18256324,2013-10-08T22:09:09Z
196628623,43.0780835,-87.9828615,FightingIrish1,1704100,4,18180866,2013-10-04T15:40:30Z
196628672,43.1397388,-87.9041527,maxerickson,360392,4,18611634,2013-10-30T04:35:44Z
196628722,43.053836,-87.909764,shuui,1952296,9,45359978,2017-01-21T22:50:01Z
196628782,42.9685061,-87.9334939,Gary Cox,383843,3,7291216,2011-02-15T00:46:38Z
196628827,42.9686337,-88.0339245,maxerickson,360392,4,18645362,2013-11-01T01:29:45Z
196628870,42.9688823,-88.0166451,whammypower788,108601,3,3777196,2010-02-02T17:29:29Z
196628918,43.1818697,-87.8966166,bbauter,156587,5,2245086,2009-08-24T15:49:41Z
196628987,43.1246629,-88.0554878,Tom Layo,280679,5,12603892,2012-08-03T22:58:45Z
196629042,43.0984845,-87.8824693,FightingIrish1,1704100,5,18359994,2013-10-14T22:45:30Z
196629088,43.0977145,-88.0388057,whammypower788,108601,3,3989837,2010-02-27T16:22:42Z
196629156,42.9917453,-87.9068041,Gary Cox,383843,4,8676993,2011-07-09T18:32:25Z
196629233,42.9054132,-87.8695371,whammypower788,108601,4,3754826,2010-01-30T21:18:59Z
196629284,42.903703,-87.8719465,erikwanta,3966596,5,40760404,2016-07-15T13:13:23Z
196629329,42.9634767,-87.983616,erikwanta,3966596,5,40795984,2016-07-17T11:14:30Z
196629382,42.9652077,-88.0083146,Tom Layo,280679,5,8862094,2011-07-29T11:07:53Z
196629430,42.9634282,-87.9946339,maxerickson,360392,4,18622364,2013-10-30T18:48:11Z
